epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.6887,1.44826,2.09135,1.17106,0.03606,0.99888,0.6061,0.28122,1.11952,2.46591,0.97835,0.00044,0.00044,0.00044
2,172.134,1.18189,1.08036,1.04607,0.5612,0.87486,0.80208,0.51649,1.21955,2.14304,1.01828,0.00089109,0.00089109,0.00089109
3,254.657,1.18037,1.04461,1.04187,0.84252,0.83911,0.92254,0.58469,1.28,1.19994,1.04302,0.00133307,0.00133307,0.00133307
4,336.915,1.12831,1.03135,1.04565,0.82157,0.84022,0.89825,0.60054,1.11021,0.95437,1.05482,0.00176595,0.00176595,0.00176595
5,419.791,1.13907,0.96958,1.02719,0.79568,0.87458,0.91273,0.58382,1.16028,0.95002,1.04644,0.0019208,0.0019208,0.0019208
6,505.24,1.09975,0.9499,1.04053,0.81699,0.84246,0.88996,0.61819,1.05198,0.9821,1.03379,0.001901,0.001901,0.001901
7,595.375,1.06939,0.90553,1.02701,0.80133,0.81229,0.85603,0.58008,1.07021,0.92351,1.05205,0.0018812,0.0018812,0.0018812
8,686.012,1.05356,0.89046,1.01714,0.80892,0.84916,0.89606,0.63116,1.0035,0.87853,1.01475,0.0018614,0.0018614,0.0018614
9,776.726,1.03257,0.87766,1.01408,0.84394,0.84591,0.90746,0.65064,0.995,0.87372,1.02152,0.0018416,0.0018416,0.0018416
10,866.127,1.00805,0.83299,1.00643,0.83384,0.8257,0.91301,0.64243,1.0172,0.84353,1.01604,0.0018218,0.0018218,0.0018218
11,960.305,1.00674,0.83693,1.00621,0.83108,0.85922,0.91532,0.65133,0.97697,0.81823,1.02261,0.001802,0.001802,0.001802
12,1050.05,0.98119,0.81923,0.99306,0.82218,0.84358,0.91418,0.65574,1.01637,0.83194,1.06668,0.0017822,0.0017822,0.0017822
13,1140.99,0.97888,0.7972,1.00398,0.78435,0.88998,0.91215,0.65054,0.98756,0.81268,1.02342,0.0017624,0.0017624,0.0017624
14,1223.87,0.9887,0.8011,1.00815,0.83146,0.85436,0.9131,0.64973,0.94511,0.83685,0.99804,0.0017426,0.0017426,0.0017426
15,1307,0.96837,0.77638,1.00535,0.8291,0.87263,0.91051,0.64,1.01454,0.83232,1.04648,0.0017228,0.0017228,0.0017228
16,1390.13,0.99495,0.78635,1.02081,0.82533,0.8394,0.90467,0.64999,0.98043,0.81626,1.04704,0.001703,0.001703,0.001703
17,1481.11,0.99289,0.7717,1.01819,0.84118,0.85475,0.91338,0.64234,0.96201,0.81215,1.01587,0.0016832,0.0016832,0.0016832
18,1571.57,0.97661,0.75545,1.00179,0.80508,0.87598,0.90999,0.65438,0.96956,0.78346,1.00945,0.0016634,0.0016634,0.0016634
19,1664.33,0.94148,0.75116,0.99812,0.82127,0.84198,0.90192,0.65372,0.94691,0.77714,1.0477,0.0016436,0.0016436,0.0016436
20,1756.34,0.94862,0.74888,1.00126,0.80905,0.87374,0.91501,0.6487,0.97125,0.783,1.03542,0.0016238,0.0016238,0.0016238
21,1847.61,0.94085,0.74168,1.00427,0.82667,0.86861,0.91544,0.65455,0.96071,0.78812,1.03638,0.001604,0.001604,0.001604
22,1936.71,0.95868,0.73177,1.00111,0.84076,0.87307,0.92356,0.66676,0.94286,0.7561,1.02481,0.0015842,0.0015842,0.0015842
23,2029.42,0.94633,0.73553,0.99773,0.81803,0.85389,0.90421,0.64123,0.96483,0.7898,1.0461,0.0015644,0.0015644,0.0015644
24,2114.33,0.95495,0.71824,1.00378,0.83945,0.87045,0.92054,0.66449,0.95858,0.7663,1.02437,0.0015446,0.0015446,0.0015446
